Destination	Prefix Length	Next Hop	Interface	Metric
192.168.1.0	30	152.10.0.0	eth0	1
192.168.1.12	30	152.10.0.0	eth0	1
192.168.1.4	30	152.10.0.0	eth0	1
192.168.1.8	30	152.10.0.0	eth0	1
192.168.1.4	29	10.1.1.1	eth1	1
192.168.1.0	28	152.10.0.0	eth0	10
192.168.1.16	28	10.1.1.1	eth1	10
192.168.1.32	27	10.1.1.1	eth1	10
192.168.1.64	26	10.1.1.1	eth1	10
192.168.1.128	25	10.1.1.1	eth1	10
10.0.0.0	25	176.12.0.0	eth2	5
10.0.0.128	25	176.12.0.0	eth2	5
192.168.1.0	24	152.10.0.0	eth0	10
192.168.2.0	24	10.1.1.1	eth1	10
10.0.0.0	24	176.12.0.0	eth2	5
172.16.0.0	16	176.55.0.0	eth2	5
10.0.0.0	8	10.1.1.1	eth1	20
0.0.0.0	0	152.10.0.0	eth0	100
