n,repetitions,cpu_sort_median_ms,gpu_upload_median_ms,gpu_radix_sort_median_ms,gpu_readback_median_ms,gpu_end_to_end_median_ms,cpu_over_gpu_end_to_end
100,31,0.000300,0.059200,0.195100,0.060500,0.199100,0.001507
300,31,0.001500,0.060900,0.196200,0.064200,0.214300,0.007000
1000,31,0.004300,0.057900,0.203800,0.061900,0.227300,0.018918
3000,31,0.014100,0.060900,0.217000,0.063500,0.220000,0.064091
10000,31,0.054400,0.064700,0.209900,0.062900,0.229400,0.237140
30000,21,0.196000,0.070400,0.219500,0.071000,0.244300,0.802292
100000,21,0.819500,0.084800,0.243300,0.085800,0.295000,2.777966
300000,11,2.670300,0.140000,0.368700,0.325300,0.680500,3.924026
1000000,11,9.634500,0.299400,0.735200,0.779500,1.496600,6.437592
3000000,5,30.691900,0.711200,1.541200,2.014200,4.232500,7.251483
10000000,5,109.561000,2.351100,4.394800,6.769800,12.830400,8.539173
30000000,3,386.917500,40.015800,24.793500,26.725200,82.341500,4.698937
