backend,distribution,input_values,output_ranges,compression_ratio,cpu_from_slice_ms,cpu_from_iter_ms,gpu_upload_ms,gpu_radix_sort_ms,gpu_normalization_ms,gpu_range_readback_ms,gpu_build_from_ranges_ms,gpu_end_to_end_ms,gpu_fused_end_to_end_ms
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-random-gaps,100000,96825,1.032791,4.768300,4.442700,0.112100,0.332900,0.282600,0.480200,0.867400,2.063300,1.861400
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-duplicate-heavy,100000,10687,9.357163,3.117500,2.565100,0.086800,0.214800,0.241600,0.168500,0.066700,0.768000,0.585100
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-16,100000,6250,16.000000,3.122000,2.712700,0.088700,0.277200,0.246000,0.151200,0.038500,0.799000,0.557000
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-256,100000,391,255.754476,3.158500,2.630300,0.080800,0.265400,0.249900,0.127700,0.003300,0.818000,0.554700
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-4096,100000,25,4000.000000,3.118400,2.703100,0.088900,0.290100,0.256500,0.131600,0.000800,0.888500,0.507600
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-random-gaps,1000000,967577,1.033509,54.385500,48.143500,0.468600,0.879000,0.652600,4.511400,16.125600,22.428400,23.255500
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-duplicate-heavy,1000000,107071,9.339597,37.323000,32.399500,0.289500,0.768300,0.493500,0.494300,1.007800,3.020800,2.818500
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-16,1000000,62500,16.000000,37.087300,32.847900,0.285200,0.756200,0.480500,0.219200,0.580500,2.255600,2.095700
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-256,1000000,3907,255.950857,37.130400,33.540700,0.281800,0.731400,0.439700,0.146200,0.036700,1.629200,1.435600
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-4096,1000000,245,4081.632653,36.478900,30.500000,0.264400,0.706800,0.405500,0.129100,0.003000,1.591100,1.335900
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-random-gaps,10000000,9676284,1.033455,616.060800,558.578700,2.390200,4.508500,2.538300,33.813400,150.728700,196.628100,181.478100
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-duplicate-heavy,10000000,1071355,9.333974,473.046100,415.497500,2.353700,4.621900,2.351400,4.696900,13.513600,27.600600,26.219600
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-16,10000000,625000,16.000000,472.056300,384.756200,2.308600,4.514800,2.239400,2.118000,5.780300,18.151500,16.898700
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-256,10000000,39063,255.996723,436.501400,380.307600,2.164200,4.456400,2.509400,0.265100,0.332400,10.120500,9.884800
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-4096,10000000,2442,4095.004095,443.939900,398.454400,2.235800,4.385800,2.070800,0.225200,0.031900,9.197400,8.726900
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-random-gaps,100000000,96775149,1.033323,7099.291400,6715.109200,95.074400,50.460600,29.388300,355.306700,1486.939800,2048.049100,2149.007100
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-duplicate-heavy,100000000,10714037,9.333550,5283.995400,4766.953300,86.666300,38.847300,19.235100,40.117500,147.484300,331.757200,319.816400
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-16,100000000,6250000,16.000000,5212.262400,4675.895300,84.709000,39.346300,19.274000,20.094000,79.169100,243.615000,242.668000
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-256,100000000,390625,256.000000,5128.499700,4567.235000,85.883000,38.188200,19.360100,1.914700,4.083400,149.441200,149.550100
wgpu-lampshade-vulkan-nvidia-geforce-rtx-3060,shuffled-clumps-4096,100000000,24415,4095.842720,5188.544700,4728.563900,87.700300,40.667900,17.960700,0.363400,0.329900,147.022700,145.456800
