backend,distribution,input_values,output_ranges,compression_ratio,cpu_total_ms,cpu_normalize_ms,cpu_build_from_ranges_ms,gpu_device_pipeline_ms,gpu_range_readback_ms,gpu_end_to_end_ms
cuda-oxide,random-gaps,100000,96825,1.032791,1.690612,0.123912,0.537846,0.721680,0.183062,1.528078
cuda-oxide,duplicate-heavy,100000,10687,9.357163,0.298739,0.055864,0.063368,0.384209,0.093265,0.614639
cuda-oxide,clumps-4,100000,25000,4.000000,0.511236,0.062837,0.148568,0.436677,0.103333,0.792984
cuda-oxide,clumps-16,100000,6250,16.000000,0.148548,0.053119,0.049273,0.368329,0.070582,0.561580
cuda-oxide,clumps-64,100000,1563,63.979527,0.032711,0.048571,0.009618,0.338283,0.066525,0.510755
cuda-oxide,clumps-256,100000,391,255.754476,0.012343,0.049662,0.002284,0.332392,0.069119,0.483574
cuda-oxide,clumps-1024,100000,98,1020.408163,0.007825,0.047309,0.000561,0.325178,0.063639,0.473114
cuda-oxide,clumps-4096,100000,25,4000.000000,0.006252,0.046527,0.000160,0.325078,0.062306,0.489526
cutile,random-gaps,100000,96825,1.032791,1.691435,0.106619,0.535371,0.104055,0.185287,1.051066
cutile,duplicate-heavy,100000,10687,9.357163,0.303758,0.046337,0.066234,0.167553,0.098975,0.345206
cutile,clumps-4,100000,25000,4.000000,0.533999,0.060754,0.156693,0.110026,0.107130,0.555148
cutile,clumps-16,100000,6250,16.000000,0.118641,0.051026,0.037100,0.112961,0.083035,0.302897
cutile,clumps-64,100000,1563,63.979527,0.034444,0.057708,0.009257,0.134742,0.073347,0.325088
cutile,clumps-256,100000,391,255.754476,0.013845,0.050705,0.002204,0.122930,0.075080,0.276788
cutile,clumps-1024,100000,98,1020.408163,0.009788,0.048380,0.000551,0.115446,0.074559,0.269715
cutile,clumps-4096,100000,25,4000.000000,0.007164,0.047990,0.000160,0.131496,0.072946,0.327703
cuda-oxide,random-gaps,1000000,967577,1.033509,17.745411,1.291505,5.603611,3.867454,1.153397,11.510019
cuda-oxide,duplicate-heavy,1000000,107071,9.339597,3.101842,0.617535,0.625891,1.741708,0.192860,1.800127
cuda-oxide,clumps-4,1000000,250000,4.000000,5.628138,0.748390,1.454911,1.877612,0.401551,3.876431
cuda-oxide,clumps-16,1000000,62500,16.000000,1.177182,0.566299,0.366175,0.575236,0.141976,1.444752
cuda-oxide,clumps-64,1000000,15625,64.000000,0.320269,0.632092,0.094677,0.520603,0.085109,1.072567
cuda-oxide,clumps-256,1000000,3907,255.950857,0.123681,0.523860,0.023814,0.519722,0.067476,1.050425
cuda-oxide,clumps-1024,1000000,977,1023.541453,0.083265,0.486320,0.005991,0.518460,0.065022,0.929058
cuda-oxide,clumps-4096,1000000,245,4081.632653,0.065202,0.477534,0.001443,1.622354,0.090339,1.619108
cutile,random-gaps,1000000,967577,1.033509,17.361650,2.554121,5.469559,0.255708,1.239045,10.176422
cutile,duplicate-heavy,1000000,107071,9.339597,3.131650,0.469207,0.697753,0.229188,0.187761,1.533104
cutile,clumps-4,1000000,250000,4.000000,5.515634,0.708745,1.586705,0.238575,0.400138,2.737244
cutile,clumps-16,1000000,62500,16.000000,2.437593,0.517016,0.466512,0.219931,0.135603,1.096048
cutile,clumps-64,1000000,15625,64.000000,0.672647,0.561970,0.098474,0.215283,0.088566,0.725986
cutile,clumps-256,1000000,3907,255.950857,0.213709,0.502869,0.023534,0.218398,0.093174,0.605681
cutile,clumps-1024,1000000,977,1023.541453,0.106079,0.486729,0.005651,0.218448,0.067576,0.579854
cutile,clumps-4096,1000000,245,4081.632653,0.070601,0.473825,0.001442,0.214631,0.068118,0.596043
cuda-oxide,random-gaps,10000000,9676284,1.033455,282.257272,52.858378,94.289288,22.546905,88.477050,197.780713
cuda-oxide,duplicate-heavy,10000000,1071355,9.333974,39.333470,5.868579,6.514237,4.709311,1.435606,18.356845
cuda-oxide,clumps-4,10000000,2500000,4.000000,65.113995,18.684678,15.188718,3.450085,4.198876,37.004776
cuda-oxide,clumps-16,10000000,625000,16.000000,13.470874,5.890882,3.686267,1.905475,1.129023,12.708809
cuda-oxide,clumps-64,10000000,156250,64.000000,6.905711,5.493739,0.901847,4.088710,0.326140,7.958281
cuda-oxide,clumps-256,10000000,39063,255.996723,2.279024,5.031835,0.236443,3.821099,0.116208,7.143826
cuda-oxide,clumps-1024,10000000,9766,1023.960680,1.411371,4.883637,0.057577,4.110361,0.084648,6.838295
