backend,distribution,input_values,output_ranges,compression_ratio,cpu_from_slice_ms,cpu_from_iter_ms,gpu_upload_ms,gpu_radix_sort_ms,gpu_normalization_ms,gpu_range_readback_ms,gpu_build_from_ranges_ms,gpu_end_to_end_ms
cub+cuda-oxide,shuffled-random-gaps,100000,96825,1.032791,3.603742,3.241674,0.064361,0.223137,1.809275,0.256610,0.504353,2.835244
cub+cuda-oxide,shuffled-duplicate-heavy,100000,10687,9.357163,2.376535,2.030880,0.058219,0.169117,0.568233,0.105858,0.056325,0.958213
cub+cuda-oxide,shuffled-clumps-16,100000,6250,16.000000,2.649166,2.250971,0.057879,0.408714,0.891087,0.111378,0.033372,1.505997
cub+cuda-oxide,shuffled-clumps-256,100000,391,255.754476,2.484608,2.162255,0.064751,0.479858,0.872181,0.097182,0.003046,1.508011
cub+cuda-oxide,shuffled-clumps-4096,100000,25,4000.000000,2.547906,2.185027,0.055324,0.496789,0.864898,0.078617,0.000741,1.501609
cub+cuda-oxide,shuffled-random-gaps,1000000,967577,1.033509,40.648991,37.825481,0.453929,0.347931,3.896008,2.265788,5.149243,12.115565
cub+cuda-oxide,shuffled-duplicate-heavy,1000000,107071,9.339597,31.297409,27.987006,0.311052,0.247613,0.778957,0.260537,0.563615,2.139332
cub+cuda-oxide,shuffled-clumps-16,1000000,62500,16.000000,31.626534,27.897439,0.252593,0.215703,0.585284,0.159999,0.357339,1.579215
cub+cuda-oxide,shuffled-clumps-256,1000000,3907,255.950857,30.757360,27.555038,0.251991,0.213749,0.517789,0.089367,0.021581,1.109786
cub+cuda-oxide,shuffled-clumps-4096,1000000,245,4081.632653,30.458000,27.021461,0.290253,0.399848,1.631933,0.089928,0.002745,2.403877
cub+cuda-oxide,shuffled-random-gaps,10000000,9676284,1.033455,618.443094,537.313543,3.120393,1.401564,10.117784,73.212185,94.425542,182.210802
cub+cuda-oxide,shuffled-duplicate-heavy,10000000,1071355,9.333974,408.834197,370.358731,6.216236,19.132263,6.631031,2.581831,5.685275,40.077940
cub+cuda-oxide,shuffled-clumps-16,10000000,625000,16.000000,394.391379,361.490781,6.159312,21.170830,12.542374,1.962655,3.232452,46.283923
cub+cuda-oxide,shuffled-clumps-256,10000000,39063,255.996723,394.928001,359.606959,2.472579,1.293902,1.619603,0.185838,0.209422,5.908402
cub+cuda-oxide,shuffled-clumps-4096,10000000,2442,4095.004095,401.619393,360.208966,2.861689,1.389292,1.605687,0.155482,0.015499,6.112597
cub+cuda-oxide,shuffled-random-gaps,100000000,96775149,1.033323,7595.360378,7315.706964,30.064805,31.726766,339.578508,553.154314,1330.830354,2298.039028
cub+cuda-oxide,shuffled-duplicate-heavy,100000000,10714037,9.333550,4521.844660,4210.974066,25.720794,12.851516,86.989827,15.343873,65.656271,206.308626
cub+cuda-oxide,shuffled-clumps-16,100000000,6250000,16.000000,4996.324644,4358.617978,25.430161,13.418166,75.370911,14.163692,33.478215,161.892375
cub+cuda-oxide,shuffled-clumps-256,100000000,390625,256.000000,4726.850750,4332.986043,26.542185,13.144542,63.942023,1.054693,2.057239,105.822353
cub+cuda-oxide,shuffled-clumps-4096,100000000,24415,4095.842720,4669.340351,4332.469584,25.591890,13.105504,61.705489,0.252142,0.131236,101.451506
